lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0259371;77109.8;0.0005;0.0261301;76539.9;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0313837;63727.3;0.001;0.0261301;76540;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0282099;70897.2;0.0005;0.026134;76528.6;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263819;75809.6;0.0005;0.0261195;76571;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263852;75800;0.001;0.0261311;76537.2;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263804;75813.9;0.0005;0.0261155;76583;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263799;75815.2;0.0005;0.0262959;76057.4;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263839;75803.9;0.0005;0.0261287;76544.1;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.026385;75800.6;0.0005;0.0261181;76575.3;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263759;75826.8;0.0005;0.0261253;76554;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263868;75795.4;0.0005;0.0261192;76572.2;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263922;75780.1;0.0005;0.0261261;76551.7;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.026375;75829.3;0.0005;0.0261215;76565.3;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263745;75830.8;0.0005;0.0261223;76563.1;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263768;75824.2;0.0005;0.0261269;76549.5;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263807;75812.9;0.0005;0.0261189;76572.9;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263751;75829.1;0.001;0.0261405;76509.7;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263916;75781.6;0.0005;0.026121;76566.9;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263873;75794.1;0.0005;0.0261245;76556.4;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263746;75830.6;0;0.0261218;76564.3;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0265969;75196.7;0.0005;0.0261283;76545.4;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263876;75793.1;0.0005;0.0261314;76536.1;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263794;75816.8;0.0005;0.0261196;76570.9;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263883;75791.3;0.001;0.0261259;76552.4;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263816;75810.3;0.0005;0.0261191;76572.2;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263796;75816.1;0.0005;0.0261198;76570.4;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263855;75799.1;0;0.0261246;76556.1;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.026386;75797.8;0.0005;0.0261211;76566.5;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263893;75788.2;0.0005;0.0261318;76535.2;1.62971
Lamport_Lecture_atomic;2;1000;30;8000;100;1000;0.4;0;-1;-1;0.0263925;75779;0.0005;0.0261241;76557.8;1.62971
