lock_name;num_threads;num_turns;num_tests;num_events;workload;cs_workload;randomness;mutex_fail_count;fcfs_fail_count;lru_fail_count;thp_runtime_wanc;thp_wanc;anc;thp_runtime_ref;thp_ref;bm_runtime
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0153344;130426;0.027;0.0172994;115611;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0169368;118086;0.0015;0.0210526;95000.3;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0172829;115721;0.0085;0.0208842;95766.4;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0174013;114934;0.0005;0.019941;100296;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0170907;117023;0.073;0.0206128;97026.9;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0142978;139882;0.007;0.0212255;94226.3;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0232983;85843;0.068;0.0209045;95673.4;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0213189;93813.4;0.0245;0.0150863;132571;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0209682;95382.5;0.0015;0.0166975;119779;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0236515;84561.1;0.043;0.0152313;131309;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0181851;109980;0.0005;0.0153521;130276;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0180304;110924;0.026;0.0170997;116961;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0212654;94049.4;0.016;0.0182256;109736;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0208612;95871.6;0.0255;0.0168058;119006;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.021125;94674.4;0.0005;0.0160268;124791;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0213166;93823.5;0.042;0.0160512;124601;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0158374;126284;0.005;0.014448;138427;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0175582;113907;0.0005;0.0171726;116464;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0142634;140219;0.0035;0.0159905;125074;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0155048;128992;0.0015;0.01619;123533;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0178627;111965;0.046;0.0167722;119245;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0156543;127760;0.0045;0.0202642;98696.1;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0163929;122004;0.0005;0.0172939;115648;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0150902;132537;0.005;0.0214205;93368.4;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0152874;130827;0.442;0.0206287;96952.4;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0165972;120503;0.001;0.0196048;102016;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0162256;123262;0.0015;0.019754;101245;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.02096;95419.8;0.0665;0.0188873;105891;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0220817;90572.9;0.0005;0.0169118;118261;1.14626
Taubenfeld_Paper_1_atomic;2;1000;30;8000;1000;100;0.4;0;-1;-1;0.0168355;118797;0.027;0.0214;93457.8;1.14626
